id;Food;Calories (kcal);Fat (g);Carbs (g);Protein (g)
1;chicken curry;420.0;23.0;19.0;28.0
2;fried rice;384.0;15.0;41.0;16.0
3;omelette;308.0;21.0;9.0;20.0
4;spaghetti carbonara;582.0;29.0;65.0;27.0
5;ramen;358.0;19.0;38.0;15.0
6;macaroni and cheese;533.0;22.0;53.0;25.0
7;club sandwich;518.0;29.0;38.0;25.0
8;sushi;250.0;6.0;28.0;8.0
9;lasagna;416.0;22.0;37.0;26.0
10;beet salad;229.0;13.0;24.0;5.0
11;bibimbap;392.0;19.0;53.0;16.0
12;caesar salad;374.0;18.0;34.0;14.0
13;caprese salad;350.0;18.0;24.0;19.0
14;ceviche;177.0;8.0;13.0;17.0
15;clam chowder;379.0;20.0;33.0;12.0
16;crab cakes;252.0;13.0;11.0;18.0
17;deviled eggs;110.0;9.0;2.0;4.0
18;dumplings;475.0;6.0;22.0;5.0
19;edamame;296.0;13.0;29.0;11.0
20;eggs benedict;523.0;31.0;28.0;28.0
21;falafel;254.0;8.0;24.0;7.0
22;filet mignon;308.0;17.0;10.0;10.0
23;fish and chips;487.0;22.0;43.0;27.0
24;french onion soup;467.0;18.0;50.0;18.0
25;grilled salmon;356.0;18.0;12.0;34.0
26;greek salad;326.0;19.0;27.0;13.0
27;huevos rancheros;577.0;34.0;44.0;20.0
28;hummus;317.0;18.0;30.0;9.0
29;lobster bisque;400.0;26.0;13.0;14.0
30;miso soup;196.0;5.0;13.0;11.0
31;mussels;408.0;22.0;16.0;21.0
32;paella;417.0;14.0;48.0;30.0
33;peking duck;576.0;55.0;15.0;21.0
34;pho;391.0;8.0;57.0;28.0
35;ravioli;433.0;18.0;48.0;18.0
36;red velvet cake;426.0;20.0;61.0;7.0
37;risotto;449.0;14.0;63.0;13.0
38;samosa;161.0;9.0;21.0;5.0
39;sashimi;189.0;11.0;10.0;14.0
40;scallops;275.0;15.0;19.0;17.0
41;seaweed salad;87.0;6.0;8.0;2.0
42;shrimp and grits;519.0;20.0;34.0;39.0
43;spring rolls;290.0;10.0;46.0;11.0
44;steak;521.0;34.0;22.0;35.0
45;tuna tartare;237.0;14.0;11.0;15.0
46;gnocchi;469.0;18.0;55.0;20.0
47;chicken wings;519.0;27.0;31.0;32.0
48;churros;176.0;13.0;16.0;3.0
49;fried calamari;413.0;13.0;46.0;25.0
50;ice cream;263.0;16.0;24.0;1.0
51;pancakes;417.0;17.0;53.0;9.0
52;pizza;411.0;22.0;44.0;18.0
53;spaghetti bolognese;580.0;25.0;68.0;29.0
54;tacos;321.0;14.0;30.0;21.0
55;tiramisu;511.0;30.0;39.0;8.0
56;apple pie;289.0;13.0;37.0;4.0
57;baby back ribs;572.0;32.0;35.0;38.0
58;baklava;291.0;17.0;29.0;4.0
59;beef carpaccio;222.0;14.0;4.0;18.0
60;beef tartare;283.0;19.0;6.0;24.0
61;beignets;266.0;16.0;36.0;5.0
62;bread pudding;312.0;8.0;48.0;6.0
63;breakfast burrito;389.0;23.0;26.0;18.0
64;bruschetta;347.0;16.0;31.0;9.0
65;cannoli;179.0;11.0;21.0;4.0
66;carrot cake;327.0;15.0;41.0;5.0
67;cheese plate;383.0;18.0;26.0;10.0
68;cheesecake;295.0;18.0;32.0;4.0
69;chocolate cake;619.0;40.0;57.0;11.0
70;chocolate mousse;416.0;33.0;30.0;7.0
71;croque madame;715.0;46.0;33.0;37.0
72;cup cakes;284.0;16.0;30.0;4.0
73;donuts;260.0;6.0;43.0;3.0
74;escargots;360.0;21.0;12.0;10.0
75;foie gras;315.0;11.0;17.0;11.0
76;french toast;365.0;27.0;14.0;11.0
77;frozen yogurt;185.0;2.0;31.0;7.0
78;garlic bread;241.0;9.0;33.0;6.0
79;grilled cheese sandwich;594.0;32.0;34.0;24.0
80;guacamole;280.0;23.0;20.0;4.0
81;gyoza;117.0;3.0;6.0;4.0
82;hamburger;539.0;25.0;29.0;27.0
83;macarons;116.0;5.0;14.0;1.0
84;nachos;471.0;24.0;36.0;20.0
85;onion rings;293.0;15.0;29.0;7.0
86;pad thai;497.0;22.0;50.0;24.0
87;panna cotta;454.0;22.0;34.0;7.0
88;strawberry shortcake;411.0;24.0;44.0;7.0
89;takoyaki;273.0;7.0;39.0;12.0
90;waffles;433.0;21.0;54.0;10.0
91;french fries;312.0;15.0;41.0;3.4
92;hot and sour soup;91.0;3.5;10.0;6.0
93;hot dog;290.0;18.0;23.0;10.0
94;lobster roll sandwich;310.0;15.0;27.0;18.0
95;pork chop;231.0;13.0;0.0;25.0
96;prime rib;298.0;22.0;0.0;25.0